count,date,val1,val2,val3,val4,val5,val6,val7,bornas1,bornas2
第440回,2021年10月8日,05,10,17,18,19,22,32,14,35
第441回,2021年10月15日,15,21,22,23,27,28,37,08,25
第442回,2021年10月22日,06,13,14,16,19,30,32,25,36
第443回,2021年10月29日,01,05,08,26,28,32,36,23,24
第444回,2021年11月5日,11,15,16,17,18,27,29,25,33
第445回,2021年11月12日,04,22,25,27,28,30,33,02,03
第446回,2021年11月19日,01,07,09,12,15,29,32,11,28
第447回,2021年11月26日,03,05,08,13,26,30,37,25,28
第448回,2021年12月3日,07,21,24,29,32,36,37,22,27
第449回,2021年12月10日,02,21,26,27,32,33,34,08,09
第450回,2021年12月17日,02,07,12,15,21,23,30,09,31
第451回,2021年12月24日,02,15,22,25,28,33,37,10,17
第452回,2022年1月7日,05,17,20,21,31,34,35,08,27
第453回,2022年1月14日,02,08,10,21,24,26,35,09,13
第454回,2022年1月21日,08,17,21,26,27,29,31,01,33
第455回,2022年1月28日,01,05,08,15,18,26,36,33,34
第456回,2022年2月4日,09,15,17,18,22,25,31,33,36
第457回,2022年2月11日,07,14,19,27,31,35,36,09,33
第458回,2022年2月18日,07,11,12,14,19,21,33,06,37
第459回,2022年2月25日,02,04,07,08,10,20,29,14,33
第435回,2021年9月3日,03,05,07,11,15,17,25,13,32
第436回,2021年9月10日,05,06,21,22,26,31,32,18,36
第437回,2021年9月17日,08,10,14,15,23,25,26,01,11
第438回,2021年9月24日,04,13,16,21,32,34,37,27,33
第439回,2021年10月1日,01,03,06,09,26,29,31,14,18
第440回,2021年10月8日,05,10,17,18,19,22,32,14,35
第441回,2021年10月15日,15,21,22,23,27,28,37,08,25
第442回,2021年10月22日,06,13,14,16,19,30,32,25,36
第443回,2021年10月29日,01,05,08,26,28,32,36,23,24
第444回,2021年11月5日,11,15,16,17,18,27,29,25,33
第445回,2021年11月12日,04,22,25,27,28,30,33,02,03
第446回,2021年11月19日,01,07,09,12,15,29,32,11,28
第447回,2021年11月26日,03,05,08,13,26,30,37,25,28
第448回,2021年12月3日,07,21,24,29,32,36,37,22,27
第449回,2021年12月10日,02,21,26,27,32,33,34,08,09
第450回,2021年12月17日,02,07,12,15,21,23,30,09,31
第451回,2021年12月24日,02,15,22,25,28,33,37,10,17
第452回,2022年1月7日,05,17,20,21,31,34,35,08,27
第453回,2022年1月14日,02,08,10,21,24,26,35,09,13
第454回,2022年1月21日,08,17,21,26,27,29,31,01,33
第455回,2022年1月28日,01,05,08,15,18,26,36,33,34
第456回,2022年2月4日,09,15,17,18,22,25,31,33,36
第457回,2022年2月11日,07,14,19,27,31,35,36,09,33
第458回,2022年2月18日,07,11,12,14,19,21,33,06,37
第459回,2022年2月25日,02,04,07,08,10,20,29,14,33
第460回,2022年3月4日,05,06,09,23,27,28,30,04,13
第461回,2022年3月11日,02,13,19,22,32,35,37,14,33
第462回,2022年3月18日,07,11,24,27,29,34,35,04,18
第463回,2022年3月25日,03,07,13,16,19,24,30,06,10
第435回,2021年9月3日,03,05,07,11,15,17,25,13,32
第436回,2021年9月10日,05,06,21,22,26,31,32,18,36
第437回,2021年9月17日,08,10,14,15,23,25,26,01,11
第438回,2021年9月24日,04,13,16,21,32,34,37,27,33
第439回,2021年10月1日,01,03,06,09,26,29,31,14,18
第440回,2021年10月8日,05,10,17,18,19,22,32,14,35
第441回,2021年10月15日,15,21,22,23,27,28,37,08,25
第442回,2021年10月22日,06,13,14,16,19,30,32,25,36
第443回,2021年10月29日,01,05,08,26,28,32,36,23,24
第444回,2021年11月5日,11,15,16,17,18,27,29,25,33
第445回,2021年11月12日,04,22,25,27,28,30,33,02,03
第446回,2021年11月19日,01,07,09,12,15,29,32,11,28
第447回,2021年11月26日,03,05,08,13,26,30,37,25,28
第448回,2021年12月3日,07,21,24,29,32,36,37,22,27
第449回,2021年12月10日,02,21,26,27,32,33,34,08,09
第450回,2021年12月17日,02,07,12,15,21,23,30,09,31
第451回,2021年12月24日,02,15,22,25,28,33,37,10,17
第452回,2022年1月7日,05,17,20,21,31,34,35,08,27
第453回,2022年1月14日,02,08,10,21,24,26,35,09,13
第454回,2022年1月21日,08,17,21,26,27,29,31,01,33
第455回,2022年1月28日,01,05,08,15,18,26,36,33,34
第456回,2022年2月4日,09,15,17,18,22,25,31,33,36
第457回,2022年2月11日,07,14,19,27,31,35,36,09,33
第458回,2022年2月18日,07,11,12,14,19,21,33,06,37
第459回,2022年2月25日,02,04,07,08,10,20,29,14,33
第460回,2022年3月4日,05,06,09,23,27,28,30,04,13
第461回,2022年3月11日,02,13,19,22,32,35,37,14,33
第462回,2022年3月18日,07,11,24,27,29,34,35,04,18
第463回,2022年3月25日,03,07,13,16,19,24,30,06,10
第464回,2022年4月1日,07,08,13,17,30,32,36,01,10
第465回,2022年4月8日,01,04,05,13,27,31,35,15,22
第466回,2022年4月15日,05,06,08,14,15,25,29,18,33
第467回,2022年4月22日,07,08,11,13,14,26,30,31,34
第468回,2022年4月29日,03,12,15,16,25,29,37,26,28
第435回,2021年9月3日,03,05,07,11,15,17,25,13,32
第436回,2021年9月10日,05,06,21,22,26,31,32,18,36
第437回,2021年9月17日,08,10,14,15,23,25,26,01,11
第438回,2021年9月24日,04,13,16,21,32,34,37,27,33
第439回,2021年10月1日,01,03,06,09,26,29,31,14,18
第440回,2021年10月8日,05,10,17,18,19,22,32,14,35
第441回,2021年10月15日,15,21,22,23,27,28,37,08,25
第442回,2021年10月22日,06,13,14,16,19,30,32,25,36
第443回,2021年10月29日,01,05,08,26,28,32,36,23,24
第444回,2021年11月5日,11,15,16,17,18,27,29,25,33
第445回,2021年11月12日,04,22,25,27,28,30,33,02,03
第446回,2021年11月19日,01,07,09,12,15,29,32,11,28
第447回,2021年11月26日,03,05,08,13,26,30,37,25,28
第448回,2021年12月3日,07,21,24,29,32,36,37,22,27
第449回,2021年12月10日,02,21,26,27,32,33,34,08,09
第450回,2021年12月17日,02,07,12,15,21,23,30,09,31
第451回,2021年12月24日,02,15,22,25,28,33,37,10,17
第452回,2022年1月7日,05,17,20,21,31,34,35,08,27
第453回,2022年1月14日,02,08,10,21,24,26,35,09,13
第454回,2022年1月21日,08,17,21,26,27,29,31,01,33
第455回,2022年1月28日,01,05,08,15,18,26,36,33,34
第456回,2022年2月4日,09,15,17,18,22,25,31,33,36
第457回,2022年2月11日,07,14,19,27,31,35,36,09,33
第458回,2022年2月18日,07,11,12,14,19,21,33,06,37
第459回,2022年2月25日,02,04,07,08,10,20,29,14,33
第460回,2022年3月4日,05,06,09,23,27,28,30,04,13
第461回,2022年3月11日,02,13,19,22,32,35,37,14,33
第462回,2022年3月18日,07,11,24,27,29,34,35,04,18
第463回,2022年3月25日,03,07,13,16,19,24,30,06,10
第464回,2022年4月1日,07,08,13,17,30,32,36,01,10
第465回,2022年4月8日,01,04,05,13,27,31,35,15,22
第466回,2022年4月15日,05,06,08,14,15,25,29,18,33
第467回,2022年4月22日,07,08,11,13,14,26,30,31,34
第468回,2022年4月29日,03,12,15,16,25,29,37,26,28
第469回,2022年5月6日,01,06,08,13,16,30,33,23,28
第470回,2022年5月13日,02,03,09,16,27,32,36,01,34
第471回,2022年5月20日,03,05,07,08,11,19,34,17,32
第472回,2022年5月27日,05,07,08,32,33,34,36,04,06
第435回,2021年9月3日,03,05,07,11,15,17,25,13,32
第436回,2021年9月10日,05,06,21,22,26,31,32,18,36
第437回,2021年9月17日,08,10,14,15,23,25,26,01,11
第438回,2021年9月24日,04,13,16,21,32,34,37,27,33
第439回,2021年10月1日,01,03,06,09,26,29,31,14,18
第440回,2021年10月8日,05,10,17,18,19,22,32,14,35
第441回,2021年10月15日,15,21,22,23,27,28,37,08,25
第442回,2021年10月22日,06,13,14,16,19,30,32,25,36
第443回,2021年10月29日,01,05,08,26,28,32,36,23,24
第444回,2021年11月5日,11,15,16,17,18,27,29,25,33
第445回,2021年11月12日,04,22,25,27,28,30,33,02,03
第446回,2021年11月19日,01,07,09,12,15,29,32,11,28
第447回,2021年11月26日,03,05,08,13,26,30,37,25,28
第448回,2021年12月3日,07,21,24,29,32,36,37,22,27
第449回,2021年12月10日,02,21,26,27,32,33,34,08,09
第450回,2021年12月17日,02,07,12,15,21,23,30,09,31
第451回,2021年12月24日,02,15,22,25,28,33,37,10,17
第452回,2022年1月7日,05,17,20,21,31,34,35,08,27
第453回,2022年1月14日,02,08,10,21,24,26,35,09,13
第454回,2022年1月21日,08,17,21,26,27,29,31,01,33
第455回,2022年1月28日,01,05,08,15,18,26,36,33,34
第456回,2022年2月4日,09,15,17,18,22,25,31,33,36
第457回,2022年2月11日,07,14,19,27,31,35,36,09,33
第458回,2022年2月18日,07,11,12,14,19,21,33,06,37
第459回,2022年2月25日,02,04,07,08,10,20,29,14,33
第460回,2022年3月4日,05,06,09,23,27,28,30,04,13
第461回,2022年3月11日,02,13,19,22,32,35,37,14,33
第462回,2022年3月18日,07,11,24,27,29,34,35,04,18
第463回,2022年3月25日,03,07,13,16,19,24,30,06,10
第464回,2022年4月1日,07,08,13,17,30,32,36,01,10
第465回,2022年4月8日,01,04,05,13,27,31,35,15,22
第466回,2022年4月15日,05,06,08,14,15,25,29,18,33
第467回,2022年4月22日,07,08,11,13,14,26,30,31,34
第468回,2022年4月29日,03,12,15,16,25,29,37,26,28
第469回,2022年5月6日,01,06,08,13,16,30,33,23,28
第470回,2022年5月13日,02,03,09,16,27,32,36,01,34
第471回,2022年5月20日,03,05,07,08,11,19,34,17,32
第472回,2022年5月27日,05,07,08,32,33,34,36,04,06
第473回,2022年6月3日,06,11,21,24,28,33,37,08,27
第474回,2022年6月10日,03,17,19,21,24,32,34,27,28
第475回,2022年6月17日,01,02,22,24,26,31,37,12,19
第476回,2022年6月24日,04,07,09,15,22,24,31,21,37
第435回,2021年9月3日,03,05,07,11,15,17,25,13,32
第436回,2021年9月10日,05,06,21,22,26,31,32,18,36
第437回,2021年9月17日,08,10,14,15,23,25,26,01,11
第438回,2021年9月24日,04,13,16,21,32,34,37,27,33
第439回,2021年10月1日,01,03,06,09,26,29,31,14,18
第440回,2021年10月8日,05,10,17,18,19,22,32,14,35
第441回,2021年10月15日,15,21,22,23,27,28,37,08,25
第442回,2021年10月22日,06,13,14,16,19,30,32,25,36
第443回,2021年10月29日,01,05,08,26,28,32,36,23,24
第444回,2021年11月5日,11,15,16,17,18,27,29,25,33
第445回,2021年11月12日,04,22,25,27,28,30,33,02,03
第446回,2021年11月19日,01,07,09,12,15,29,32,11,28
第447回,2021年11月26日,03,05,08,13,26,30,37,25,28
第448回,2021年12月3日,07,21,24,29,32,36,37,22,27
第449回,2021年12月10日,02,21,26,27,32,33,34,08,09
第450回,2021年12月17日,02,07,12,15,21,23,30,09,31
第451回,2021年12月24日,02,15,22,25,28,33,37,10,17
第452回,2022年1月7日,05,17,20,21,31,34,35,08,27
第453回,2022年1月14日,02,08,10,21,24,26,35,09,13
第454回,2022年1月21日,08,17,21,26,27,29,31,01,33
第455回,2022年1月28日,01,05,08,15,18,26,36,33,34
第456回,2022年2月4日,09,15,17,18,22,25,31,33,36
第457回,2022年2月11日,07,14,19,27,31,35,36,09,33
第458回,2022年2月18日,07,11,12,14,19,21,33,06,37
第459回,2022年2月25日,02,04,07,08,10,20,29,14,33
第460回,2022年3月4日,05,06,09,23,27,28,30,04,13
第461回,2022年3月11日,02,13,19,22,32,35,37,14,33
第462回,2022年3月18日,07,11,24,27,29,34,35,04,18
第463回,2022年3月25日,03,07,13,16,19,24,30,06,10
第464回,2022年4月1日,07,08,13,17,30,32,36,01,10
第465回,2022年4月8日,01,04,05,13,27,31,35,15,22
第466回,2022年4月15日,05,06,08,14,15,25,29,18,33
第467回,2022年4月22日,07,08,11,13,14,26,30,31,34
第468回,2022年4月29日,03,12,15,16,25,29,37,26,28
第469回,2022年5月6日,01,06,08,13,16,30,33,23,28
第470回,2022年5月13日,02,03,09,16,27,32,36,01,34
第471回,2022年5月20日,03,05,07,08,11,19,34,17,32
第472回,2022年5月27日,05,07,08,32,33,34,36,04,06
第473回,2022年6月3日,06,11,21,24,28,33,37,08,27
第474回,2022年6月10日,03,17,19,21,24,32,34,27,28
第475回,2022年6月17日,01,02,22,24,26,31,37,12,19
第476回,2022年6月24日,04,07,09,15,22,24,31,21,37
第477回,2022年7月1日,02,05,09,19,25,32,37,07,29
第478回,2022年7月8日,06,08,11,13,16,20,32,12,34
第479回,2022年7月15日,08,11,13,18,24,30,31,21,23
第480回,2022年7月22日,10,13,19,21,26,30,36,22,34
第481回,2022年7月29日,01,10,13,14,16,25,27,05,21
第435回,2021年9月3日,03,05,07,11,15,17,25,13,32
第436回,2021年9月10日,05,06,21,22,26,31,32,18,36
第437回,2021年9月17日,08,10,14,15,23,25,26,01,11
第438回,2021年9月24日,04,13,16,21,32,34,37,27,33
第439回,2021年10月1日,01,03,06,09,26,29,31,14,18
第440回,2021年10月8日,05,10,17,18,19,22,32,14,35
第441回,2021年10月15日,15,21,22,23,27,28,37,08,25
第442回,2021年10月22日,06,13,14,16,19,30,32,25,36
第443回,2021年10月29日,01,05,08,26,28,32,36,23,24
第444回,2021年11月5日,11,15,16,17,18,27,29,25,33
第445回,2021年11月12日,04,22,25,27,28,30,33,02,03
第446回,2021年11月19日,01,07,09,12,15,29,32,11,28
第447回,2021年11月26日,03,05,08,13,26,30,37,25,28
第448回,2021年12月3日,07,21,24,29,32,36,37,22,27
第449回,2021年12月10日,02,21,26,27,32,33,34,08,09
第450回,2021年12月17日,02,07,12,15,21,23,30,09,31
第451回,2021年12月24日,02,15,22,25,28,33,37,10,17
第452回,2022年1月7日,05,17,20,21,31,34,35,08,27
第453回,2022年1月14日,02,08,10,21,24,26,35,09,13
第454回,2022年1月21日,08,17,21,26,27,29,31,01,33
第455回,2022年1月28日,01,05,08,15,18,26,36,33,34
第456回,2022年2月4日,09,15,17,18,22,25,31,33,36
第457回,2022年2月11日,07,14,19,27,31,35,36,09,33
第458回,2022年2月18日,07,11,12,14,19,21,33,06,37
第459回,2022年2月25日,02,04,07,08,10,20,29,14,33
第460回,2022年3月4日,05,06,09,23,27,28,30,04,13
第461回,2022年3月11日,02,13,19,22,32,35,37,14,33
第462回,2022年3月18日,07,11,24,27,29,34,35,04,18
第463回,2022年3月25日,03,07,13,16,19,24,30,06,10
第464回,2022年4月1日,07,08,13,17,30,32,36,01,10
第465回,2022年4月8日,01,04,05,13,27,31,35,15,22
第466回,2022年4月15日,05,06,08,14,15,25,29,18,33
第467回,2022年4月22日,07,08,11,13,14,26,30,31,34
第468回,2022年4月29日,03,12,15,16,25,29,37,26,28
第469回,2022年5月6日,01,06,08,13,16,30,33,23,28
第470回,2022年5月13日,02,03,09,16,27,32,36,01,34
第471回,2022年5月20日,03,05,07,08,11,19,34,17,32
第472回,2022年5月27日,05,07,08,32,33,34,36,04,06
第473回,2022年6月3日,06,11,21,24,28,33,37,08,27
第474回,2022年6月10日,03,17,19,21,24,32,34,27,28
第475回,2022年6月17日,01,02,22,24,26,31,37,12,19
第476回,2022年6月24日,04,07,09,15,22,24,31,21,37
第477回,2022年7月1日,02,05,09,19,25,32,37,07,29
第478回,2022年7月8日,06,08,11,13,16,20,32,12,34
第479回,2022年7月15日,08,11,13,18,24,30,31,21,23
第480回,2022年7月22日,10,13,19,21,26,30,36,22,34
第481回,2022年7月29日,01,10,13,14,16,25,27,05,21
第482回,2022年8月5日,02,05,14,15,17,19,36,08,34
第483回,2022年8月12日,02,11,20,23,25,36,37,29,34
第484回,2022年8月19日,01,04,06,09,13,22,31,29,30
第485回,2022年8月26日,04,06,17,20,22,24,26,08,09
