count,date,val1,val2,val3,val4,val5,val6,bornas
第1642回,2021年11月29日,05,15,16,24,34,39,13
第1643回,2021年12月2日,10,11,12,15,16,40,33
第1644回,2021年12月6日,01,09,14,28,32,40,15
第1645回,2021年12月9日,02,08,13,14,33,40,06
第1646回,2021年12月13日,03,19,21,29,39,43,25
第1647回,2021年12月16日,03,08,14,15,19,35,12
第1648回,2021年12月20日,02,03,22,26,35,42,38
第1649回,2021年12月23日,08,16,19,23,29,41,01
第1650回,2021年12月27日,01,03,15,33,39,43,30
第1651回,2021年12月30日,07,12,15,21,27,32,28
第1652回,2022年1月6日,08,15,16,23,38,43,02
第1653回,2022年1月10日,02,07,10,12,29,36,06
第1654回,2022年1月13日,09,10,14,21,22,33,26
第1655回,2022年1月17日,21,23,31,38,42,43,40
第1656回,2022年1月20日,11,12,14,28,36,38,37
第1657回,2022年1月24日,11,13,16,19,20,38,25
第1658回,2022年1月27日,10,11,19,29,30,36,37
第1659回,2022年1月31日,04,10,23,25,37,42,06
第1660回,2022年2月3日,03,13,29,35,42,43,15
第1661回,2022年2月7日,06,14,31,35,38,43,12
第1662回,2022年2月10日,04,17,18,25,26,27,32
第1663回,2022年2月14日,01,06,19,21,27,39,03
第1664回,2022年2月17日,07,10,17,20,21,27,15
第1665回,2022年2月21日,19,22,24,29,34,41,09
第1666回,2022年2月24日,14,16,26,37,41,43,31
第1667回,2022年2月28日,05,08,18,25,40,43,17
第1668回,2022年3月3日,05,16,21,24,31,34,29
第1669回,2022年3月7日,02,04,13,14,22,29,26
第1670回,2022年3月10日,01,16,20,23,32,37,18
第1671回,2022年3月14日,16,27,37,38,39,43,10
第1672回,2022年3月17日,06,17,22,27,37,42,34
第1673回,2022年3月21日,24,33,35,36,41,43,21
第1674回,2022年3月24日,14,19,25,29,33,43,31
第1675回,2022年3月28日,02,03,17,27,28,34,06
第1676回,2022年3月31日,05,13,21,27,31,36,11
第1677回,2022年4月4日,11,20,26,31,34,38,32
第1678回,2022年4月7日,03,15,17,21,22,23,13
第1679回,2022年4月11日,10,12,13,21,31,41,27
第1680回,2022年4月14日,04,19,29,32,35,42,25
第1681回,2022年4月18日,01,07,11,13,15,42,33
第1682回,2022年4月21日,06,09,10,21,33,41,14
第1683回,2022年4月25日,06,15,28,30,32,43,21
第1684回,2022年4月28日,05,10,26,30,34,40,31
第1685回,2022年5月2日,01,26,27,28,33,37,08
第1686回,2022年5月5日,07,08,09,23,25,41,11
第1687回,2022年5月9日,20,21,23,26,29,35,22
第1688回,2022年5月12日,02,04,10,24,34,42,08
第1689回,2022年5月16日,04,07,21,22,34,42,31
第1690回,2022年5月19日,08,16,21,23,29,37,38
第1691回,2022年5月23日,13,16,18,29,33,41,26
第1692回,2022年5月26日,04,08,17,31,37,42,14
第1693回,2022年5月30日,07,08,21,23,34,36,11
第1694回,2022年6月2日,02,12,14,26,32,37,29
第1695回,2022年6月6日,03,08,14,18,28,37,39
第1696回,2022年6月9日,02,04,13,18,32,35,12
第1697回,2022年6月13日,02,03,11,12,22,35,26
第1698回,2022年6月16日,06,16,18,33,42,43,11
第1699回,2022年6月20日,04,06,16,27,39,42,01
第1700回,2022年6月23日,11,19,20,27,31,35,06
第1701回,2022年6月27日,05,08,27,30,33,39,10
第1702回,2022年6月30日,02,06,07,18,27,38,14
第1703回,2022年7月4日,14,22,23,30,33,38,18
第1704回,2022年7月7日,01,05,18,26,39,40,31
第1705回,2022年7月11日,03,06,09,28,37,41,05
第1706回,2022年7月14日,13,15,32,35,37,38,25
第1707回,2022年7月18日,14,16,28,34,35,36,26
第1708回,2022年7月21日,01,20,29,35,40,41,16
第1709回,2022年7月25日,03,04,07,20,22,41,05
第1710回,2022年7月28日,01,02,21,27,32,37,14
第1617回,2021年9月2日,02,19,21,24,26,41,23
第1618回,2021年9月6日,02,10,14,17,37,43,38
第1619回,2021年9月9日,03,05,17,20,24,38,13
第1620回,2021年9月13日,07,15,19,24,25,28,11
第1621回,2021年9月16日,03,10,22,23,26,39,01
第1622回,2021年9月20日,16,29,34,35,40,41,26
第1623回,2021年9月23日,07,12,15,17,19,29,22
第1624回,2021年9月27日,03,05,17,25,33,39,19
第1625回,2021年9月30日,01,04,08,11,30,42,09
第1626回,2021年10月4日,09,11,19,23,30,43,27
第1627回,2021年10月7日,21,22,23,26,36,38,13
第1628回,2021年10月11日,01,03,10,12,26,42,13
第1629回,2021年10月14日,19,23,30,31,32,40,13
第1630回,2021年10月18日,10,11,24,33,34,36,42
第1631回,2021年10月21日,07,15,23,26,30,35,36
第1632回,2021年10月25日,01,09,24,28,31,41,02
第1633回,2021年10月28日,03,07,09,26,35,36,28
第1634回,2021年11月1日,18,19,20,23,29,35,17
第1635回,2021年11月4日,04,08,19,32,36,43,30
第1636回,2021年11月8日,01,12,24,26,30,36,29
第1637回,2021年11月11日,02,03,11,16,27,36,29
第1638回,2021年11月15日,21,25,26,35,39,40,18
第1639回,2021年11月18日,05,09,13,20,26,32,28
第1640回,2021年11月22日,08,09,19,21,27,30,17
第1641回,2021年11月25日,02,05,07,12,16,20,33
第1642回,2021年11月29日,05,15,16,24,34,39,13
第1643回,2021年12月2日,10,11,12,15,16,40,33
第1644回,2021年12月6日,01,09,14,28,32,40,15
第1645回,2021年12月9日,02,08,13,14,33,40,06
第1646回,2021年12月13日,03,19,21,29,39,43,25
第1647回,2021年12月16日,03,08,14,15,19,35,12
第1648回,2021年12月20日,02,03,22,26,35,42,38
第1649回,2021年12月23日,08,16,19,23,29,41,01
第1650回,2021年12月27日,01,03,15,33,39,43,30
第1651回,2021年12月30日,07,12,15,21,27,32,28
第1652回,2022年1月6日,08,15,16,23,38,43,02
第1653回,2022年1月10日,02,07,10,12,29,36,06
第1654回,2022年1月13日,09,10,14,21,22,33,26
第1655回,2022年1月17日,21,23,31,38,42,43,40
第1656回,2022年1月20日,11,12,14,28,36,38,37
第1657回,2022年1月24日,11,13,16,19,20,38,25
第1658回,2022年1月27日,10,11,19,29,30,36,37
第1659回,2022年1月31日,04,10,23,25,37,42,06
第1660回,2022年2月3日,03,13,29,35,42,43,15
第1661回,2022年2月7日,06,14,31,35,38,43,12
第1662回,2022年2月10日,04,17,18,25,26,27,32
第1663回,2022年2月14日,01,06,19,21,27,39,03
第1664回,2022年2月17日,07,10,17,20,21,27,15
第1665回,2022年2月21日,19,22,24,29,34,41,09
第1666回,2022年2月24日,14,16,26,37,41,43,31
第1667回,2022年2月28日,05,08,18,25,40,43,17
第1668回,2022年3月3日,05,16,21,24,31,34,29
第1669回,2022年3月7日,02,04,13,14,22,29,26
第1670回,2022年3月10日,01,16,20,23,32,37,18
第1671回,2022年3月14日,16,27,37,38,39,43,10
第1672回,2022年3月17日,06,17,22,27,37,42,34
第1673回,2022年3月21日,24,33,35,36,41,43,21
第1674回,2022年3月24日,14,19,25,29,33,43,31
第1675回,2022年3月28日,02,03,17,27,28,34,06
第1676回,2022年3月31日,05,13,21,27,31,36,11
第1677回,2022年4月4日,11,20,26,31,34,38,32
第1678回,2022年4月7日,03,15,17,21,22,23,13
第1679回,2022年4月11日,10,12,13,21,31,41,27
第1680回,2022年4月14日,04,19,29,32,35,42,25
第1681回,2022年4月18日,01,07,11,13,15,42,33
第1682回,2022年4月21日,06,09,10,21,33,41,14
第1683回,2022年4月25日,06,15,28,30,32,43,21
第1684回,2022年4月28日,05,10,26,30,34,40,31
第1685回,2022年5月2日,01,26,27,28,33,37,08
第1686回,2022年5月5日,07,08,09,23,25,41,11
第1687回,2022年5月9日,20,21,23,26,29,35,22
第1688回,2022年5月12日,02,04,10,24,34,42,08
第1689回,2022年5月16日,04,07,21,22,34,42,31
第1690回,2022年5月19日,08,16,21,23,29,37,38
第1691回,2022年5月23日,13,16,18,29,33,41,26
第1692回,2022年5月26日,04,08,17,31,37,42,14
第1693回,2022年5月30日,07,08,21,23,34,36,11
第1694回,2022年6月2日,02,12,14,26,32,37,29
第1695回,2022年6月6日,03,08,14,18,28,37,39
第1696回,2022年6月9日,02,04,13,18,32,35,12
第1697回,2022年6月13日,02,03,11,12,22,35,26
第1698回,2022年6月16日,06,16,18,33,42,43,11
第1699回,2022年6月20日,04,06,16,27,39,42,01
第1700回,2022年6月23日,11,19,20,27,31,35,06
第1701回,2022年6月27日,05,08,27,30,33,39,10
第1702回,2022年6月30日,02,06,07,18,27,38,14
第1703回,2022年7月4日,14,22,23,30,33,38,18
第1704回,2022年7月7日,01,05,18,26,39,40,31
第1705回,2022年7月11日,03,06,09,28,37,41,05
第1706回,2022年7月14日,13,15,32,35,37,38,25
第1707回,2022年7月18日,14,16,28,34,35,36,26
第1708回,2022年7月21日,01,20,29,35,40,41,16
第1709回,2022年7月25日,03,04,07,20,22,41,05
第1710回,2022年7月28日,01,02,21,27,32,37,14
第1711回,2022年8月1日,03,32,33,34,35,40,05
第1712回,2022年8月4日,01,05,15,24,25,28,14
第1713回,2022年8月8日,06,32,38,39,40,42,37
第1714回,2022年8月11日,11,15,20,26,33,42,16
第1715回,2022年8月15日,02,06,15,16,32,37,25
第1716回,2022年8月18日,02,26,27,32,38,42,09
第1717回,2022年8月22日,15,21,23,24,33,36,40
第1718回,2022年8月25日,01,06,09,15,18,38,10
第1719回,2022年8月29日,04,11,15,16,35,39,36
